,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Saint-Louis,16.3333,-15.0,99.5,12,4,8.28,SN,clear sky
1,Narsaq,60.9167,-46.05,37.62,79,92,3.04,GL,overcast clouds
2,Guerrero Negro,27.9769,-114.0611,69.96,66,4,16.28,MX,clear sky
3,Kaitangata,-46.2817,169.8464,49.91,91,100,2.57,NZ,overcast clouds
4,Tiksi,71.6872,128.8694,-2.24,100,97,4.27,RU,overcast clouds
5,Necochea,-38.5473,-58.7368,62.04,56,85,10.11,AR,moderate rain
6,Butaritari,3.0707,172.7902,81.3,71,76,8.41,KI,broken clouds
7,Busselton,-33.65,115.3333,54.09,83,17,6.91,AU,few clouds
8,Guerrero,17.6667,-100.0,71.92,85,99,2.57,MX,overcast clouds
9,Bambous Virieux,-20.3428,57.7575,75.22,79,15,10.89,MU,few clouds
10,Jamestown,42.097,-79.2353,50.09,80,90,5.01,US,light rain
11,Gogrial,8.5332,28.1004,79.45,62,86,3.89,SS,overcast clouds
12,Nelson Bay,-32.7167,152.15,64.96,97,48,11.99,AU,scattered clouds
13,Jinchang,38.4953,102.1739,47.26,58,2,5.12,CN,clear sky
14,Victoria,22.2855,114.1577,70.32,77,73,1.01,HK,light rain
15,Rikitea,-23.1203,-134.9692,74.5,82,67,19.71,PF,broken clouds
16,Mar Del Plata,-38.0023,-57.5575,68.02,64,40,7.0,AR,scattered clouds
17,Chase,50.8165,-119.6857,48.78,87,100,2.04,CA,overcast clouds
18,Mount Isa,-20.7333,139.5,71.37,73,87,3.44,AU,light rain
19,Port Macquarie,-31.4333,152.9167,64.89,95,21,4.9,AU,few clouds
20,Barcelos,41.5388,-8.6151,65.84,64,100,4.18,PT,overcast clouds
21,Antofagasta,-23.65,-70.4,63.68,64,23,11.39,CL,few clouds
22,Saint-Philippe,-21.3585,55.7679,76.59,81,79,11.99,RE,broken clouds
23,Constantine,36.365,6.6147,67.41,63,40,13.8,DZ,scattered clouds
24,Georgetown,5.4112,100.3354,80.89,89,20,4.61,MY,light rain
25,Panaba,21.2833,-88.2667,85.62,68,89,3.4,MX,overcast clouds
26,Kudahuvadhoo,2.6708,72.8944,82.98,73,13,14.05,MV,light rain
27,Mataura,-46.1927,168.8643,49.78,92,100,0.81,NZ,overcast clouds
28,Clyde River,70.4692,-68.5914,23.76,80,96,15.37,CA,overcast clouds
29,Ilulissat,69.2167,-51.1,19.42,79,90,21.85,GL,light snow
30,Punta Arenas,-53.15,-70.9167,42.91,81,75,39.12,CL,light intensity shower rain
31,Puerto Ayora,-0.7393,-90.3518,76.96,79,92,9.95,EC,overcast clouds
32,Batagay-Alyta,67.8006,130.4114,-0.72,97,100,1.7,RU,overcast clouds
