City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Moshi,-3.35,37.3333,66.38,76,70,1.86,TZ,2021-10-17 01:20:36
1,Lavrentiya,65.5833,-171.0,29.26,76,100,21.23,RU,2021-10-17 01:20:37
2,Sao Joao Da Barra,-21.6403,-41.0511,73.89,93,100,11.92,BR,2021-10-17 01:20:37
3,Avarua,-21.2078,-159.775,82.45,74,75,8.05,CK,2021-10-17 01:20:38
4,East London,-33.0153,27.9116,56.7,54,1,19.37,ZA,2021-10-17 01:20:38
5,Flinders,-34.5833,150.8552,71.19,51,8,5.99,AU,2021-10-17 01:20:39
6,Olinda,-8.0089,-34.8553,80.33,74,40,10.36,BR,2021-10-17 01:20:39
7,Evensk,61.95,159.2333,19.76,52,100,6.02,RU,2021-10-17 01:20:40
8,Hithadhoo,-0.6,73.0833,82.9,76,100,17.05,MV,2021-10-17 01:20:40
9,Yellowknife,62.456,-114.3525,34.41,100,90,5.75,CA,2021-10-17 01:16:03
10,Lata,40.1629,-8.3327,63.91,82,100,3.29,PT,2021-10-17 01:20:41
11,Bluff,-46.6,168.3333,55.36,80,100,17.09,NZ,2021-10-17 01:20:42
12,Caravelas,-17.7125,-39.2481,75.87,81,96,11.25,BR,2021-10-17 01:20:42
13,Umm Lajj,25.0213,37.2685,82.8,67,0,10.22,SA,2021-10-17 01:20:42
14,Alekseyevka,50.6309,38.6903,51.66,63,100,4.16,RU,2021-10-17 01:20:43
15,Port Macquarie,-31.4333,152.9167,73.89,39,0,7.34,AU,2021-10-17 01:20:43
16,Ixtapa,20.7,-105.2,83.43,74,40,4.61,MX,2021-10-17 01:20:44
17,Hermanus,-34.4187,19.2345,51.91,74,100,11.52,ZA,2021-10-17 01:20:44
18,Coruche,38.9595,-8.5252,67.44,79,100,1.21,PT,2021-10-17 01:20:45
19,Awbari,26.5921,12.7805,69.06,32,0,9.24,LY,2021-10-17 01:20:45
20,Nishihara,26.1842,127.7558,78.08,65,75,32.21,JP,2021-10-17 01:20:46
21,Butaritari,3.0707,172.7902,82.04,68,11,12.62,KI,2021-10-17 01:20:46
22,Upernavik,72.7868,-56.1549,20.34,56,26,7.34,GL,2021-10-17 01:18:09
23,Saint-Philippe,-21.3585,55.7679,71.15,76,7,13.02,RE,2021-10-17 01:16:23
24,Mangit,40.5971,70.9607,49.28,31,0,2.21,UZ,2021-10-17 01:20:47
25,Lagoa,39.05,-27.9833,71.92,84,100,34.34,PT,2021-10-17 01:20:48
26,Madang,-5.2246,145.7966,87.62,60,99,3.09,PG,2021-10-17 01:20:48
27,Oyama,36.3,139.8,64.58,84,100,4.65,JP,2021-10-17 01:20:48
28,Qaanaaq,77.484,-69.3632,21.63,87,100,9.84,GL,2021-10-17 01:20:49
29,Port Alfred,-33.5906,26.891,55.62,58,11,21.88,ZA,2021-10-17 01:20:49
30,Sambava,-14.2667,50.1667,71.29,82,56,7.83,MG,2021-10-17 01:20:49
31,Dryden,49.7833,-92.7503,46.69,66,75,8.05,CA,2021-10-17 01:18:27
32,Husavik,66.0449,-17.3389,33.71,85,100,4.38,IS,2021-10-17 01:20:50
33,Atuona,-9.8,-139.0333,77.4,79,45,17.43,PF,2021-10-17 01:20:50
34,Sirjan,29.452,55.6814,56.93,27,0,4.23,IR,2021-10-17 01:20:51
35,Vaini,-21.2,-175.2,78.96,83,75,10.36,TO,2021-10-17 01:20:51
